Gen,Time,FitMean,FitStd
0,1.352968,419.87487276481335,38.57133082639103
1,0.89433,432.265459257074,39.47925595476304
2,0.673526,430.9121249432695,41.676209485544646
3,0.556719,445.01398987054677,47.561397575348664
4,0.496772,431.1478449183415,47.9926108263201
5,0.621467,423.5133550541081,47.05275182997614
6,0.480428,420.7708167203226,45.79908929247802
7,0.690355,431.2834077505587,48.23923999268383
8,0.729146,421.42956502667784,45.375910892653
9,0.723835,418.5468451550651,44.35295594220104
10,0.615129,424.3195512198339,46.26536122360558
11,0.70321,417.53042033041294,43.79252122662554
12,0.694703,411.80575440445665,42.627015493375225
13,1.072199,407.52991882233,44.426510675887826
14,0.548929,405.96938327279764,39.88084455792843
15,0.551409,402.8159380673944,40.05583755940028
16,0.659864,402.20082650661885,38.282458412955854
17,0.70482,403.6900420730244,39.013258882764966
18,0.5912,394.4495336331674,35.66554027377282
19,0.538406,393.25419594679755,32.75057435708622
20,0.547557,394.68564736591065,33.347195904899
21,0.499864,391.8735078580464,34.33158760949907
22,0.450625,387.32210298359945,32.87497344465725
23,0.461778,388.679676663248,32.24802910970029
24,0.560165,385.82110635207704,31.540889031346023
25,0.557751,381.59253235152784,29.00520541286345
26,0.448608,386.51891535429803,29.92036618948712
27,0.484819,389.4892853428104,27.755314568529204
28,0.47106,388.02887781894736,29.838644280296066
29,0.480266,384.77386998745897,28.51647059948286
30,0.479238,370.6319603842208,26.643218923335755
31,0.497467,377.2511551825384,25.03914198484757
32,0.4934,377.9056092259781,24.196615222063894
33,0.456245,370.9968141116634,21.381550206975767
34,0.476278,372.0509479310823,21.44531219104858
35,0.470328,378.4279956744696,22.597391512696767
36,0.477067,364.70868021141644,20.46485369532581
37,0.521649,370.2645207167054,21.758092164097295
38,0.498098,369.5234286579287,20.1745522637433
39,0.522069,372.2517960552658,20.816153082006547
40,0.468582,364.0133753695577,20.009782436324674
41,0.521462,367.65550169126,18.59598040751223
42,0.530915,359.6985022778584,16.929686084069285
43,0.493095,366.88552068501326,17.813828117898776
44,0.486572,370.4097904509052,19.153304430134128
45,0.485073,364.20034818966633,17.287457126982773
46,0.476415,364.0792034049462,17.559889245845305
47,0.465586,369.24868558402665,19.118429741875286
48,0.477285,369.6149178492837,18.199812845919798
49,0.482148,363.9101338026835,16.700660987002372
